x1,y1,x2,y2,col
0,-13.5,54,-13.5,"Black"
54,-13.5,54,13.5,"Black"
54,13.5,0,13.5,"Black"
0,13.5,0,-13.5,"Black"
9.525,1.6667,9.525,-1.6667,"Yellow"
9.2225,0.16667,9.525,0.16667,"Black"
9.2225,-0.16667,9.525,-0.16667,"Black"
9.2225,0.16667,9.2225,-0.16667,"Black"
9.2225,0,8.3475,0,"Purple"
9.525,1.6667,12.411,3.333,"Yellow"
11.1123,2.5833,10.9611,2.8453,"Black"
10.823,2.4167,10.67175,2.6786,"Black"
10.67175,2.6786,10.9611,2.8453,"Black"
10.81675,2.7620,10.37925,3.5198,"Purple"
9.525,-1.6667,12.411,-3.333,"Yellow"
11.1123,-2.5833,10.9611,-2.8453,"Black"
10.823,-2.4167,10.67175,-2.6786,"Black"
10.67175,-2.6786,10.9611,-2.8453,"Black"
10.81675,-2.7620,10.37925,-3.5198,"Purple"
12.411,3.333,15.298,1.6667,"Yellow"
12.411,-3.333,15.298,-1.6667,"Yellow"
15.298,1.6667,15.298,-1.6667,"Yellow"